date,weighted,close,high,low,open,volume
2016-07-18,676.679899,670.38,680.42,664.61,676.33,28810844.41
2016-07-19,671.217096,671.1,673.24,663.63,670.38,20401885.27
2016-07-20,667.552112,664.4,672.29,659.51,671.1,25075066.39
2016-07-21,663.813112,664.62,666.51,657.82,664.4,21351309.78
2016-07-22,656.856126,651.11,669.44,645.69,664.62,43283429.35
2016-07-23,654.00247,655.16,658.17,647.98,651.11,19544654.54
2016-07-24,658.793838,659.29,664.21,651.03,655.16,19642346.73
2016-07-25,656.269525,654,662.51,651.08,659.29,22564554.46
2016-07-26,651.523483,654.38,657.76,643.49,654,32177578.58
2016-07-27,654.779091,654.54,659.08,646.04,654.38,19568531.49
2016-07-28,656.376585,654.13,657.96,650.81,654.54,18452583.66
2016-07-29,656.63992,655.43,657.4,650.99,654.13,17757920.48
2016-07-30,657.305262,654.74,657.55,652.06,655.43,12721755.54
2016-07-31,634.751164,621.87,654.92,621.42,654.74,39918066.14
2016-08-01,618.498827,607,627.89,603.55,621.87,41229298.83
2016-08-02,575.483074,513.43,613.75,471.36,607,75338595.54
2016-08-03,548.94169,566.44,573.06,514.09,513.43,47170751.56
2016-08-04,573.928979,576.22,584.89,559.5,566.44,25725471.16
2016-08-05,573.519737,574.66,579.97,565.81,576.22,15992890.37
2016-08-06,578.231792,586.45,596.68,565.33,574.66,14676841.26
2016-08-07,591.22896,590.85,596.01,580.87,586.45,15491523.1
2016-08-08,591.893902,589.24,594.24,585.41,590.85,14726811.56
2016-08-09,589.272687,585.25,591.2,581.1,589.24,15304277.91
2016-08-10,592.648096,590.94,600.52,580.87,585.25,29376783.81
2016-08-11,593.627165,587.84,599.15,585.39,590.94,23640952.51
2016-08-12,588.564915,587.14,591.14,582.2,587.84,15009452.98
2016-08-13,588.368044,584.59,590.07,582.81,587.14,11357750.81
2016-08-14,573.707415,569.06,585.8,559.93,584.59,18970094.63
2016-08-15,569.094418,566.95,574.97,559.28,569.06,19218972.96
2016-08-16,574.010818,580.19,583.38,563.38,566.95,21634083.15
2016-08-17,576.504284,572.34,581.1,568.66,580.19,18886741.55
2016-08-18,576.177021,573.39,579.53,570.83,572.34,17509679.71
2016-08-19,575.839127,574.56,577.86,566.25,573.39,14701426.29
2016-08-20,580.318577,582.61,583.5,572.28,574.56,13416843.63
2016-08-21,585.749724,580.66,585.32,577.84,582.61,8294321.53
2016-08-22,585.782846,587.47,591.9,577.13,580.66,19658058.08
2016-08-23,585.131298,583.56,589.87,578.61,587.47,18772369.53
2016-08-24,582.283131,579.66,584.47,576.82,583.56,16337141.09
2016-08-25,576.939927,577.96,580.71,570.81,579.66,18885349.63
2016-08-26,582.438984,579.37,582.73,575.83,577.96,12329289.75
2016-08-27,575.128208,570.35,580.41,567.25,579.37,10747219.53
2016-08-28,575.27879,574.98,576.32,569.21,570.35,7377921.72
2016-08-29,576.661906,574.23,578.61,571.38,574.98,13760854.22
2016-08-30,578.427475,577.32,579.94,572.51,574.23,15895354.76
2016-08-31,575.075308,573.88,578.25,571.69,577.32,14338795.45
2016-09-01,574.368019,571.99,704.97,569.37,573.88,14860164.25
2016-09-02,575.517411,575.29,577.6,569.3,571.99,15315755.66
2016-09-03,589.794775,598.84,604.97,572.64,575.29,21055514.22
2016-09-04,607.559257,609.55,615.2,590.78,598.84,18646011.82
2016-09-05,607.828548,605.76,610.61,598.77,609.55,15369832.26
2016-09-06,611.087288,610.44,611.95,603.55,605.76,14864563.84
2016-09-07,613.626763,613.21,616.48,606.24,610.44,18429525.07
2016-09-08,625.143398,625.57,629.3,611.25,613.21,22710390.64
2016-09-09,625.064454,623.16,627.58,617.32,625.57,17710151.19
2016-09-10,628.309301,624.52,627.45,621.07,623.16,9600113.74
2016-09-11,614.802779,605.61,630.77,592.79,624.52,22467346.61
2016-09-12,610.449959,607.98,610.62,603.03,605.61,17058938.65
2016-09-13,612.421946,608.61,612.03,604.87,607.98,16850869.45
2016-09-14,613.700687,609.54,612.16,606.39,608.61,14878860.18
2016-09-15,612.335104,608.11,610.73,605.1,609.54,13892193.46
2016-09-16,611.238092,607.78,610.36,605.15,608.11,13353736.94
2016-09-17,611.822869,607.08,609.61,604.52,607.78,9724490.11
2016-09-18,612.674753,610.7,612.38,605.22,607.08,10004923.58
2016-09-19,611.29814,609.85,612.41,606.99,610.7,12981851.28
2016-09-20,610.827522,609.24,611.27,605.93,609.85,13809380.94
2016-09-21,598.425779,597.16,608.82,591.69,609.24,22059386.51
2016-09-22,599.958662,595.63,599.78,592.83,597.16,13463966.31
2016-09-23,600.536313,602.92,603.7,594.11,595.63,15567036.24
2016-09-24,608.352439,602.59,605.92,600.5,602.92,8196210.74
2016-09-25,605.366896,601.49,604.87,598.35,602.59,8038079.81
2016-09-26,607.186643,606.54,608.46,598.17,601.49,16700407.53
2016-09-27,608.075241,605.47,608.97,601.73,606.54,15534315.77
2016-09-28,606.510565,604.67,606.9,602.62,605.47,11485005.36
2016-09-29,608.346632,604.7,607.23,602.01,604.67,15403975.48
