date,Microsoft stock_unscaled
2014-01-20,39
2014-01-21,39
2014-01-22,54
2014-01-23,52
2014-01-24,68
2014-01-25,32
2014-01-26,24
2014-01-27,46
2014-01-28,48
2014-01-29,47
2014-01-30,50
2014-01-31,100
2014-02-01,30
2014-02-02,21
2014-02-03,51
2014-02-04,100
2014-02-05,74
2014-02-06,46
2014-02-07,55
2014-02-08,32
2014-02-09,21
2014-02-10,38
2014-02-11,61
2014-02-12,48
2014-02-13,31
2014-02-14,39
2014-02-15,24
2014-02-16,10
2014-02-17,25
2014-02-18,40
2014-02-19,37
2014-02-20,40
2014-02-21,41
2014-02-22,33
2014-02-23,29
2014-02-24,39
2014-02-25,34
2014-02-26,43
2014-02-27,54
2014-02-28,38
2014-03-01,36
2014-03-02,22
2014-03-03,49
2014-03-04,50
2014-03-05,69
2014-03-06,63
2014-03-07,61
2014-03-08,23
2014-03-09,32
2014-03-10,78
2014-03-11,45
2014-03-12,48
2014-03-13,49
2014-03-14,47
2014-03-15,33
2014-03-16,27
2014-03-17,62
2014-03-18,100
2014-03-19,52
2014-03-20,67
2014-03-21,70
2014-03-22,19
2014-03-23,18
2014-03-24,44
2014-03-25,54
2014-03-26,67
2014-03-27,78
2014-03-28,69
2014-03-29,67
2014-03-30,45
2014-03-31,41
2014-04-01,49
2014-04-02,68
2014-04-03,100
2014-04-04,71
2014-04-05,42
2014-04-06,30
2014-04-07,65
2014-04-08,68
2014-04-09,74
2014-04-10,73
2014-04-11,51
2014-04-12,37
2014-04-13,15
2014-04-14,47
2014-04-15,50
2014-04-16,46
2014-04-17,44
2014-04-18,42
2014-04-19,14
2014-04-20,29
2014-04-21,62
2014-04-22,59
2014-04-23,64
2014-04-24,56
2014-04-25,68
2014-04-26,21
2014-04-27,39
2014-04-28,45
2014-04-29,57
2014-04-30,63
2014-05-01,48
2014-05-02,98
2014-05-03,53
2014-05-04,32
2014-05-05,100
2014-05-06,89
2014-05-07,90
2014-05-08,36
2014-05-09,50
2014-05-10,43
2014-05-11,43
2014-05-12,68
2014-05-13,82
2014-05-14,75
2014-05-15,89
2014-05-16,70
2014-05-17,29
2014-05-18,34
2014-05-19,45
2014-05-20,73
2014-05-21,76
2014-05-22,60
2014-05-23,47
2014-05-24,30
2014-05-25,41
2014-05-26,35
2014-05-27,55
2014-05-28,61
2014-05-29,62
2014-05-30,61
2014-05-31,36
2014-06-01,33
2014-06-02,32
2014-06-03,100
2014-06-04,38
2014-06-05,19
2014-06-06,67
2014-06-07,33
2014-06-08,25
2014-06-09,57
2014-06-10,96
2014-06-11,44
2014-06-12,32
2014-06-13,53
2014-06-14,17
2014-06-15,17
2014-06-16,65
2014-06-17,57
2014-06-18,45
2014-06-19,65
2014-06-20,41
2014-06-21,57
2014-06-22,50
2014-06-23,65
2014-06-24,38
2014-06-25,45
2014-06-26,39
2014-06-27,67
2014-06-28,57
2014-06-29,17
2014-06-30,72
2014-07-01,23
2014-07-02,15
2014-07-03,31
2014-07-04,16
2014-07-05,12
2014-07-06,16
2014-07-07,10
2014-07-08,32
2014-07-09,29
2014-07-10,19
2014-07-11,34
2014-07-12,8
2014-07-13,10
2014-07-14,16
2014-07-15,30
2014-07-16,58
2014-07-17,100
2014-07-18,44
2014-07-19,26
2014-07-20,16
2014-07-21,31
2014-07-22,33
2014-07-23,36
2014-07-24,38
2014-07-25,35
2014-07-26,35
2014-07-27,24
2014-07-28,35
2014-07-29,25
2014-07-30,29
2014-07-31,23
2014-08-01,57
2014-08-02,34
2014-08-03,41
2014-08-04,93
2014-08-05,41
2014-08-06,83
2014-08-07,92
2014-08-08,54
2014-08-09,35
2014-08-10,53
2014-08-11,68
2014-08-12,70
2014-08-13,36
2014-08-14,51
2014-08-15,72
2014-08-16,43
2014-08-17,23
2014-08-18,32
2014-08-19,100
2014-08-20,45
2014-08-21,55
2014-08-22,61
2014-08-23,23
2014-08-24,34
2014-08-25,49
2014-08-26,94
2014-08-27,67
2014-08-28,63
2014-08-29,71
2014-08-30,28
2014-08-31,51
2014-09-01,23
2014-09-02,26
2014-09-03,57
2014-09-04,77
2014-09-05,53
2014-09-06,30
2014-09-07,24
2014-09-08,67
2014-09-09,46
2014-09-10,82
2014-09-11,67
2014-09-12,82
2014-09-13,36
2014-09-14,44
2014-09-15,90
2014-09-16,79
2014-09-17,48
2014-09-18,73
2014-09-19,100
2014-09-20,56
2014-09-21,30
2014-09-22,86
2014-09-23,66
2014-09-24,77
2014-09-25,65
2014-09-26,64
2014-09-27,29
